Time(s),ThrCmd_Percent_Value_write
0,0
0.02,-0.020398612
0.04,-0.041589259
0.06,-0.063562949
0.08,-0.086311079
0.1,-0.109824474
0.12,-0.134094028
0.14,-0.159109867
0.16,-0.184862075
0.18,-0.211340535
0.2,-0.238534817
0.22,-0.266434168
0.24,-0.295026821
0.26,-0.324301396
0.28,-0.354245954
0.3,-0.384848579
0.32,-0.416097137
0.34,-0.447979068
0.36,-0.480481745
0.38,-0.513592044
0.4,-0.547296695
0.42,-0.581582468
0.44,-0.616435844
0.46,-0.651842749
0.48,-0.687788731
0.5,-0.72425961
0.52,-0.761240749
0.54,-0.798717268
0.56,-0.836674537
0.58,-0.875097233
0.6,-0.913969955
0.62,-0.953277134
0.64,-0.993003019
0.66,-1.033131799
0.68,-1.073647347
0.7,-1.114533424
0.72,-1.155773633
0.74,-1.197351421
0.76,-1.239250261
0.78,-1.28145347
0.8,-1.323944079
0.82,-1.366705092
0.84,-1.409719409
0.86,-1.452969832
0.88,-1.496439068
0.9,-1.540109697
0.92,-1.583964255
0.94,-1.627985208
0.96,-1.672154946
0.98,-1.716455792
1,-1.760870015
1.02,-1.805379834
1.04,-1.849967529
1.06,-1.894615367
1.08,-1.939305401
1.1,-1.984019759
1.12,-2.028740559
1.14,-2.07344991
1.16,-2.118129921
1.18,-2.162762708
1.2,-2.207330398
1.22,-2.251815179
1.24,-2.296199532
1.26,-2.340465491
1.28,-2.38459534
1.3,-2.428571407
1.32,-2.472376074
1.34,-2.515991785
1.36,-2.559401047
1.38,-2.602586441
1.4,-2.645530623
1.42,-2.688216643
1.44,-2.730628009
1.46,-2.772747205
1.48,-2.814557372
1.5,-2.85604177
1.52,-2.897183785
1.54,-2.937966934
1.56,-2.978374873
1.58,-3.0183914
1.6,-3.058000461
1.62,-3.097186161
1.64,-3.135933164
1.66,-3.174226173
1.68,-3.212049516
1.7,-3.24938805
1.72,-3.286226823
1.74,-3.322551079
1.76,-3.358346267
1.78,-3.393598043
1.8,-3.428292276
1.82,-3.462415055
1.84,-3.495952696
1.86,-3.528891825
1.88,-3.561219772
1.9,-3.59292319
1.92,-3.623989398
1.94,-3.654405967
1.96,-3.684160732
1.98,-3.713241794
2,-3.741637526
2.02,-3.769336579
2.04,-3.796327885
2.06,-3.822600665
2.08,-3.848144429
2.1,-3.872948988
2.12,-3.897003885
2.14,-3.920299748
2.16,-3.942827374
2.18,-3.964577763
2.2,-3.985542228
2.22,-4.005712404
2.24,-4.025080253
2.26,-4.043638066
2.28,-4.061378467
2.3,-4.078294417
2.32,-4.094379223
2.34,-4.109626534
2.36,-4.124030353
2.38,-4.137584006
2.4,-4.15028096
2.42,-4.162117554
2.44,-4.173089074
2.46,-4.183191159
2.48,-4.19241981
2.5,-4.200771391
2.52,-4.208242632
2.54,-4.214830632
2.56,-4.220532864
2.58,-4.225347176
2.6,-4.229271794
2.62,-4.232305328
2.64,-4.23444677
2.66,-4.235695503
2.68,-4.236045766
2.7,-4.235500094
2.72,-4.23405987
2.74,-4.231725725
2.76,-4.228498668
2.78,-4.224380084
2.8,-4.21937174
2.82,-4.213475786
2.84,-4.206694756
2.86,-4.19903157
2.88,-4.190489534
2.9,-4.181072346
2.92,-4.170784096
2.94,-4.159629264
2.96,-4.147612729
2.98,-4.134728987
3,-4.120988603
3.02,-4.106399238
3.04,-4.090966792
3.06,-4.074697524
3.08,-4.057598054
3.1,-4.039675367
3.12,-4.020936807
3.14,-4.001390083
3.16,-3.981043267
3.18,-3.959904793
3.2,-3.93798346
3.22,-3.91528843
3.24,-3.89182923
3.26,-3.867615752
3.28,-3.842649731
3.3,-3.816939165
3.32,-3.79050109
3.34,-3.763346185
3.36,-3.735485449
3.38,-3.706930197
3.4,-3.677692058
3.42,-3.64778298
3.44,-3.617215222
3.46,-3.586001356
3.48,-3.554154266
3.5,-3.521687149
3.52,-3.488613507
3.54,-3.454947155
3.56,-3.420702214
3.58,-3.385889321
3.6,-3.350506432
3.62,-3.314582654
3.64,-3.278132465
3.66,-3.241170587
3.68,-3.203711979
3.7,-3.165771838
3.72,-3.127365592
3.74,-3.088508905
3.76,-3.049217665
3.78,-3.009507989
3.8,-2.969396216
3.82,-2.928898907
3.84,-2.888032843
3.86,-2.846815018
3.88,-2.805262642
3.9,-2.763375009
3.92,-2.721176589
3.94,-2.678689216
3.96,-2.635930003
3.98,-2.592916199
4,-2.549665191
4.02,-2.506194494
4.04,-2.462521753
4.06,-2.418664732
4.08,-2.374641317
4.1,-2.330469508
4.12,-2.286167417
4.14,-2.241753264
4.16,-2.197245374
4.18,-2.152662172
4.2,-2.108013275
4.22,-2.063310635
4.24,-2.01858222
4.26,-1.973846005
4.28,-1.929119989
4.3,-1.884422194
4.32,-1.839770659
4.34,-1.795183433
4.36,-1.750678574
4.38,-1.706274141
4.4,-1.661988191
4.42,-1.617838776
4.44,-1.573843933
4.46,-1.530021687
4.48,-1.486390039
4.5,-1.442964249
4.52,-1.399749744
4.54,-1.356774889
4.56,-1.314056929
4.58,-1.271613021
4.6,-1.22946023
4.62,-1.187615525
4.64,-1.146095773
4.66,-1.104917732
4.68,-1.064098047
4.7,-1.023653247
4.72,-0.983599735
4.74,-0.94395379
4.76,-0.904731556
4.78,-0.865949038
4.8,-0.827622101
4.82,-0.789755221
4.84,-0.75237177
4.86,-0.715487003
4.88,-0.679115714
4.9,-0.643272497
4.92,-0.607971747
4.94,-0.573227648
4.96,-0.539054176
4.98,-0.505465086
5,-0.472473912
5.02,-0.440093959
5.04,-0.4083383
5.06,-0.377219771
5.08,-0.346750964
5.1,-0.316944226
5.12,-0.287807756
5.14,-0.259354862
5.16,-0.231597964
5.18,-0.204548168
5.2,-0.178216298
5.22,-0.152612886
5.24,-0.127748172
5.26,-0.103632098
5.28,-0.080274302
5.3,-0.057684113
5.32,-0.035870549
5.34,-0.014842311
5.36,0.005392223
5.38,0.024825
5.4,0.043448297
5.42,0.061253913
5.44,0.078234329
5.46,0.094383579
5.48,0.109695235
5.5,0.124163211
5.52,0.137781774
5.54,0.150545544
5.56,0.162449499
5.58,0.173488979
5.6,0.183659689
5.62,0.192957704
5.64,0.201379469
5.66,0.208921807
5.68,0.215581923
5.7,0.221357401
5.72,0.226246214
5.74,0.230238688
5.76,0.233336993
5.78,0.235541805
5.8,0.236852286
5.82,0.237267975
5.84,0.236788791
5.86,0.235415032
5.88,0.233147383
5.9,0.229986915
5.92,0.225935086
5.94,0.220993748
5.96,0.215165145
5.98,0.208451918
6,0.200857106
6.02,0.192384146
6.04,0.183036882
6.06,0.172813947
6.08,0.161714675
6.1,0.149750969
6.12,0.136927792
6.14,0.123250483
6.16,0.108724763
6.18,0.093356733
6.2,0.077152877
6.22,0.060120061
6.24,0.042265538
6.26,0.023596944
6.28,0.004122303
6.3,-0.016149974
6.32,-0.037211086
6.34,-0.059065334
6.36,-0.081699819
6.38,-0.105100628
6.4,-0.129258221
6.42,-0.154162723
6.44,-0.179803923
6.46,-0.206171277
6.48,-0.233253906
6.5,-0.261040599
6.52,-0.289519812
6.54,-0.31867967
6.56,-0.348508063
6.58,-0.379007013
6.6,-0.410153871
6.62,-0.441936201
6.64,-0.4743413
6.66,-0.507356202
6.68,-0.540967678
6.7,-0.57516224
6.72,-0.609926142
6.74,-0.645245387
6.76,-0.681105724
6.78,-0.717492652
6.8,-0.754391426
6.82,-0.791790786
6.84,-0.829674367
6.86,-0.868026011
6.88,-0.906830304
6.9,-0.946071623
6.92,-0.985734136
6.94,-1.025801808
6.96,-1.066258404
6.98,-1.107087489
7,-1.148272434
7.02,-1.189796418
7.04,-1.231647669
7.06,-1.273807759
7.08,-1.316258308
7.1,-1.358982254
7.12,-1.401962402
7.14,-1.445181425
7.16,-1.488621873
7.18,-1.532266175
7.2,-1.576096642
7.22,-1.620095475
7.24,-1.664244764
7.26,-1.708526497
7.28,-1.752928706
7.3,-1.797430184
7.32,-1.842012391
7.34,-1.886657412
7.36,-1.931347288
7.38,-1.976064026
7.4,-2.020789598
7.42,-2.06550595
7.44,-2.110195007
7.46,-2.154838678
7.48,-2.199418858
7.5,-2.243918
7.52,-2.288322842
7.54,-2.33261195
7.56,-2.376767583
7.58,-2.420772045
7.6,-2.464607694
7.62,-2.508256943
7.64,-2.551702272
7.66,-2.594926227
7.68,-2.637911431
7.7,-2.680640589
7.72,-2.72309649
7.74,-2.765262235
7.76,-2.807123575
7.78,-2.848661711
7.8,-2.889860023
7.82,-2.930702022
7.84,-2.971171353
7.86,-3.011251808
7.88,-3.050927324
7.9,-3.090181992
7.92,-3.129000065
7.94,-3.167365959
7.96,-3.205264262
7.98,-3.242679737
8,-3.279598707
8.02,-3.316005944
8.04,-3.351886491
8.06,-3.387225987
8.08,-3.422010283
8.1,-3.456225448
8.12,-3.489857777
8.14,-3.522893789
8.16,-3.555320241
8.18,-3.587124128
8.2,-3.618292689
8.22,-3.648813413
8.24,-3.678674043
8.26,-3.707863362
8.28,-3.736369385
8.3,-3.764180506
8.32,-3.791285595
8.34,-3.817673804
8.36,-3.843334575
8.38,-3.868257643
8.4,-3.892433041
8.42,-3.915851103
8.44,-3.938502473
8.46,-3.960378104
8.48,-3.981469268
8.5,-4.001767557
8.52,-4.021264886
8.54,-4.039952268
8.56,-4.057823094
8.58,-4.07487025
8.6,-4.091086931
8.62,-4.106466674
8.64,-4.12100336
8.66,-4.13469122
8.68,-4.147524836
8.7,-4.15949915
8.72,-4.17060946
8.74,-4.180851433
8.76,-4.1902211
8.78,-4.198714865
8.8,-4.206329507
8.82,-4.213062049
8.84,-4.218903615
8.86,-4.223856752
8.88,-4.227919498
8.9,-4.231090261
8.92,-4.233367824
8.94,-4.234751343
8.96,-4.235240356
8.98,-4.23483478
9,-4.233534917
9.02,-4.231341456
9.04,-4.228255473
9.06,-4.224278435
9.08,-4.219412206
9.1,-4.213659042
9.12,-4.207021599
9.14,-4.19950175
9.16,-4.191091712
9.18,-4.181804139
9.2,-4.171642816
9.22,-4.160611904
9.24,-4.148715939
9.26,-4.135959833
9.28,-4.122348878
9.3,-4.107888743
9.32,-4.092585479
9.34,-4.076445517
9.36,-4.059475672
9.38,-4.041683141
9.4,-4.023075506
9.42,-4.003660735
9.44,-3.983447182
9.46,-3.962441656
9.48,-3.940634177
9.5,-3.918049324
9.52,-3.894696231
9.54,-3.870584372
9.56,-3.845723558
9.58,-3.820123937
9.6,-3.793795993
9.62,-3.766750545
9.64,-3.738998749
9.66,-3.710552094
9.68,-3.681422404
9.7,-3.651621837
9.72,-3.621162883
9.74,-3.590058366
9.76,-3.558321441
9.78,-3.525965583
9.8,-3.492976269
9.82,-3.459388624
9.84,-3.42521618
9.86,-3.39047274
9.88,-3.355172366
9.9,-3.319329383
9.92,-3.282958373
9.94,-3.246074177
9.96,-3.20869189
9.98,-3.170826859
10,-3.132494681
